city,country,date
Dublin,Ireland,7/28/2015
Lisbon,Portugal,8/3/2015
Lagos,Portugal,8/7/2015
Seville,Spain,8/10/2015
Granada,Spain,8/13/2015
Chefchaouen,Morocco,8/18/2015
Fez,Morocco,8/20/2015
Marrakesh,Morocco,8/24/2015
Amsterdam,Netherlands,8/27/2015
City of Brussels,Belgium,8/31/2015
Luxembourg,Luxembourg,9/3/2015
Heidelberg,Germany,9/4/2015
Munich,Germany,9/7/2015
Salzburg,Austria,9/10/2015
Venice,Italy,9/13/2015
Bologna,Italy,9/15/2015
Florence,Italy,9/19/2015
Rome,Italy,9/25/2015
Shanghai,China,10/5/2015
Beijing,China,10/13/2015
Yangshuo,China,10/17/2015
Taipei,Taiwan,10/23/2015
Houston,United States,10/27/2015
New Orleans,United States,10/30/2015
Mexico City,Mexico,11/2/2015
Havana,Cuba,11/5/2015
Bogota,Colombia,11/11/2015
Pereira,Colombia,11/15/2015
Cartagena,Colombia,11/19/2015
Taganga,Colombia,11/22/2015
Letica,Colombia,11/27/2015
Manaus,Brazil,12/4/2015
Rio de Janeiro,Brazil,12/6/2015
Ilha Grande,Brazil,12/12/2015
Paraty,Brazil,12/15/2015
Sao Paulo,Brazil,12/18/2015
Sucre,Bolivia,12/22/2015
Uyuni,Bolivia,12/30/2015
La Paz,Bolivia,1/4/2016
Iquique / San Pedro de Atacama,Chile,1/11/2016
Puerto Varas,Chile,1/17/2016
Santiago,Chile,1/24/2016
Mendoza,Argentina,1/28/2016
Buenos Aires,Argentina,2/1/2016
Auckland,New Zealand,2/21/2016
Whangarei,New Zealand,2/24/2016
Tauranga,New Zealand,2/27/2016
Wellington,New Zealand,3/1/2016
Kaikoura,New Zealand,3/4/2016
Nelson,New Zealand,3/7/2016
Queenstown,New Zealand,3/14/2016
Sydney,Australia,3/21/2016
Port Douglas,Australia,3/28/2016
Cairo,Egypt,4/4/2016
Aswan,Egypt,4/9/2016
Float Nile,Egypt,4/12/2016
Luxor,Egypt,4/15/2016
Beruit,Lebanon,4/18/2016
Amman,Jordan,4/25/2016
Jeruselem,Israel,5/2/2016
Haifa,Israel,5/6/2016
Istanbul,Turkey,5/9/2016
Aegean Coast,Turkey,5/16/2016
Islands,Greece,5/23/2016
Athens,Greece,5/30/2016
Sofia,Belarus,6/6/2016
Belgrade,Serbia,6/9/2016
Sarajevo,Bosnia,6/13/2016
Mostar,Bosnia,6/20/2016
Dubrovnik,Croatia,6/23/2016
Havar Islands,Croatia,6/27/2016
Plitvis,Croatia,7/1/2016
Budapest,Hungary,7/4/2016
Vienna,Austria,7/11/2016
Prague,Czech Republic,7/18/2016
Dresden,Germany,7/25/2016
Berlin,Germany,7/25/2016
Warsaw,Poland,8/1/2016
Krakow,Poland,8/4/2016
Riga,Latvia,8/8/2016
Stockholm,Sweden,8/11/2016
New York,USA,8/15/2016
